"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1658","test_01_login_failed[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login","",""
"","1573","test_02_login_failed[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login","",""
"","1626","test_01_login_failed[chromium-standard_user1-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login_ddt","",""
"","1618","test_01_login_failed[chromium-standard_user-secret_sauce1-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login_ddt","",""
"","0","test_calc_2_numbers[chromium-5-3-8]","tests","2026-09-17","passed","2026-09-17","TestDemo","test_ddt_demo","",""
"","1604","test_login[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_logout","",""
"","1579","test_01_login_failed[chromium-standard_user--Password is required]","tests","2026-09-17","failed","2026-09-17","TestProducts","test_login_ddt","",""
"","1565","test_03_login_failed[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login","",""
"","2728","test_logout[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_logout","",""
"","6863","test_add_product[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_products","",""
"","0","test_calc_2_numbers[chromium-2-3-5]","tests","2026-09-17","passed","2026-09-17","TestDemo","test_ddt_demo","",""
"","1565","test_04_login_failed[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login","",""
"","1568","test_01_login_failed[chromium-standard_user1-secret_sauce1-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_login_ddt","",""
"","1599","test_login[chromium]","tests","2026-09-17","passed","2026-09-17","TestProducts","test_products","",""
